assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
78457142,164496,Potamogeton polygonifolius,PLANTAE,TRACHEOPHYTA,ALISMATALES,LILIOPSIDA,POTAMOGETONACEAE,Potamogeton,polygonifolius,,,,Pourr.,Least Concern,,3.1,Unknown,Global
78457152,203256,Prunella vulgaris,PLANTAE,TRACHEOPHYTA,LAMIALES,MAGNOLIOPSIDA,LAMIACEAE,Prunella,vulgaris,,,,L.,Least Concern,,3.1,Unknown,Global
78809271,78809256,Quercus canariensis,PLANTAE,TRACHEOPHYTA,FAGALES,MAGNOLIOPSIDA,FAGACEAE,Quercus,canariensis,,,,Willd.,Data Deficient,,3.1,Unknown,Global
78972273,78972238,Quercus rotundifolia,PLANTAE,TRACHEOPHYTA,FAGALES,MAGNOLIOPSIDA,FAGACEAE,Quercus,rotundifolia,,,,Lam.,Least Concern,,3.1,Decreasing,Global
80255416,198764,Nerophis ophidion,ANIMALIA,CHORDATA,SYNGNATHIFORMES,ACTINOPTERYGII,SYNGNATHIDAE,Nerophis,ophidion,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Unknown,Global & Europe
82345569,82345555,Rhinopoma cystops,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,RHINOPOMATIDAE,Rhinopoma,cystops,,,,"Thomas, 1903",Least Concern,,3.1,Stable,Global
83377025,165470,Orthetrum sabina,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,LIBELLULIDAE,Orthetrum,sabina,,,,"(Drury, 1773)",Least Concern,,3.1,Stable,Global
83841084,5081,Coenagrion mercuriale,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,COENAGRIONIDAE,Coenagrion,mercuriale,,,,"(Charpentier, 1840)",Near Threatened,A3c,3.1,Decreasing,Global
83846274,59859,Crocothemis erythraea,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,LIBELLULIDAE,Crocothemis,erythraea,,,,"(Brullé, 1832)",Least Concern,,3.1,Increasing,Global
83847795,59864,Diplacodes lefebvrii,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,LIBELLULIDAE,Diplacodes,lefebvrii,,,,"(Rambur, 1842)",Least Concern,,3.1,Stable,Global
83856823,59954,Orthetrum chrysostigma,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,LIBELLULIDAE,Orthetrum,chrysostigma,,,,"(Burmeister, 1839)",Least Concern,,3.1,Stable,Global
83859517,59965,Orthetrum trinacria,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,LIBELLULIDAE,Orthetrum,trinacria,,,,"(Selys, 1841)",Least Concern,,3.1,Unknown,Global
